% Freq(Hz) h_c
5.8896617e-08 2.7514720e-14
5.8976315e-08 2.7558037e-14
5.9056013e-08 2.7605320e-14
5.9135710e-08 2.7657508e-14
5.9215408e-08 2.7715355e-14
5.9295106e-08 2.7779381e-14
5.9374804e-08 2.7849833e-14
5.9454501e-08 2.7926647e-14
5.9534199e-08 2.8009435e-14
5.9613897e-08 2.8097468e-14
5.9693594e-08 2.8189690e-14
5.9773292e-08 2.8284733e-14
5.9852990e-08 2.8380966e-14
5.9932688e-08 2.8476551e-14
6.0012385e-08 2.8569522e-14
6.0092083e-08 2.8657887e-14
6.0171781e-08 2.8739735e-14
6.0251478e-08 2.8813361e-14
6.0331176e-08 2.8877389e-14
6.0410874e-08 2.8930891e-14
6.0490572e-08 2.8973494e-14
6.0570269e-08 2.9005454e-14
6.0649967e-08 2.9027715e-14
6.0729665e-08 2.9041920e-14
6.0809363e-08 2.9050401e-14
6.0889060e-08 2.9056125e-14
6.0968758e-08 2.9062623e-14
6.1048456e-08 2.9073896e-14
6.1128153e-08 2.9094313e-14
6.1207851e-08 2.9128510e-14
6.1287549e-08 2.9181291e-14
6.1367247e-08 2.9257541e-14
6.1446944e-08 2.9362157e-14
6.1526642e-08 2.9499987e-14
6.1606340e-08 2.9675783e-14
6.1686037e-08 2.9894160e-14
